# Ohio State Mathematics faculty MGP roster
# OSU faculty source: https://math.osu.edu/people
# MGP source: https://www.genealogy.math.ndsu.nodak.edu/
# Generated: 2026-07-13
#
# Scope: Chair, Faculty and Faculty sections only. Postdocs & Visitors are excluded.
#
# Columns:
# osu_name	mgp_id	mgp_name	mgp_degree_school	mgp_degree_year	osu_phd_from_profile	verification_status	note

Hoi Nguyen	153775	Nguyen, Hoi	Rutgers University, New Brunswick	2010	PhD: Rutgers University (2010)	checked	
Thomas O'Leary-Roseberry	345877	O'Leary-Roseberry, Thomas	University of Texas at Austin	2020	not listed on OSU profile	osu phd not listed	
Crichton Ogle	36794	Ogle, Crichton	Brandeis University	1984	PhD: Brandeis University (1984)	checked	
Jennifer Park	204380	Park, Jennifer	Massachusetts Institute of Technology	2014	not listed on OSU profile	osu phd not listed	
Stefan Patrikis	201157	Patrikis, Stefan	Princeton University	2012	not listed on OSU profile	osu phd not listed	
David Penneys	171279	Penneys, David	University of California, Berkeley	2012	PhD: University of California, Berkeley (2012)	checked	
Grzegorz Rempala	1589	Rempala, Grzegorz	Bowling Green State University	1996	not listed on OSU profile	osu phd not listed	MGP spells surname as Rempala/Rempala with Polish diacritic on page.
Cosmin Roman	89480	Roman, Cosmin	The Ohio State University	2004	PhD: The Ohio State University (2004)	checked	
Nimish Shah	151738	Shah, Nimish	Tata Institute of Fundamental Research	1994	PhD: Tata Institute (1994)	checked	MGP gives the full institute name.
David Sivakoff	172440	Sivakoff, David	University of California, Davis	2010	PhD: Applied Mathematics, University of California- Davis (2010)	checked	
Aurel Stan	47085	Stan, Aurel	Louisiana State University	1999	PhD: Louisiana State University (1999)	checked	
Matthew Stenzel	59212	Stenzel, Mathew	Massachusetts Institute of Technology	1990	PhD: Massachusetts Institute of Technology (1990)	checked	MGP spells first name as Mathew.
Saleh Tanveer	11855	Tanveer, Saleh	California Institute of Technology	1984	PhD: California Institute of Technology (1984)	checked	OSU page has a typo in Institute.
